Date Time, Water Level, I, L 
1968-05-05 00:00,245.656,0,0
1968-05-06 00:00,245.656,0,0
1968-05-07 00:00,245.597,0,0
1968-05-08 00:00,245.548,0,0
1968-05-09 00:00,245.607,0,0
1968-05-10 00:00,245.636,0,0
1968-05-11 00:00,245.558,0,0
1968-05-12 00:00,245.568,0,0
1968-05-13 00:00,245.607,0,0
1968-05-14 00:00,245.577,0,0
1968-05-15 00:00,245.607,0,0
1968-05-16 00:00,245.646,0,0
1968-05-17 00:00,245.748,0,0
1968-05-18 00:00,245.709,0,0
1968-05-19 00:00,245.719,0,0
1968-05-20 00:00,245.846,0,0
1968-05-21 00:00,245.856,0,0
1968-05-22 00:00,245.837,0,0
1968-05-23 00:00,245.807,0,0
1968-05-24 00:00,245.856,0,0
1968-05-25 00:00,245.866,0,0
1968-05-26 00:00,245.768,0,0
1968-05-27 00:00,245.758,0,0
1968-05-28 00:00,245.807,0,0
1968-05-29 00:00,245.827,0,0
1968-05-30 00:00,245.948,0,0
1968-05-31 00:00,245.988,0,0
1968-06-01 00:00,245.968,0,0
1968-06-02 00:00,245.978,0,0
1968-06-03 00:00,246.027,0,0
1968-06-04 00:00,246.027,0,0
1968-06-05 00:00,246.027,0,0
1968-06-06 00:00,246.047,0,0
1968-06-07 00:00,246.037,0,0
1968-06-08 00:00,246.047,0,0
1968-06-09 00:00,246.007,0,0
1968-06-10 00:00,245.988,0,0
1968-06-11 00:00,246.047,0,0
1968-06-12 00:00,246.109,0,0
1968-06-13 00:00,246.138,0,0
1968-06-14 00:00,246.109,0,0
1968-06-15 00:00,246.148,0,0
1968-06-16 00:00,246.129,0,0
1968-06-17 00:00,246.129,0,0
1968-06-18 00:00,246.129,0,0
1968-06-19 00:00,246.207,0,0
1968-06-20 00:00,246.237,0,0
1968-06-21 00:00,246.168,0,0
1968-06-22 00:00,246.266,0,0
1968-06-23 00:00,246.188,0,0
1968-06-24 00:00,246.188,0,0
1968-06-25 00:00,246.138,0,0
1968-06-26 00:00,246.119,0,0
1968-06-27 00:00,246.158,0,0
1968-06-28 00:00,246.309,0,0
1968-06-29 00:00,246.329,0,0
1968-06-30 00:00,246.339,0,0
1968-07-01 00:00,246.388,0,0
1968-07-04 00:00,246.388,0,0
1968-07-05 00:00,246.427,0,0
1968-07-07 00:00,246.437,0,0
1968-07-08 00:00,246.437,0,0
1968-07-09 00:00,246.447,0,0
1968-07-10 00:00,246.447,0,0
1968-07-11 00:00,246.388,0,0
1968-07-12 00:00,246.417,0,0
1968-07-13 00:00,246.388,0,0
1968-07-14 00:00,246.388,0,0
1968-07-15 00:00,246.398,0,0
1968-07-16 00:00,246.398,0,0
1968-07-17 00:00,246.388,0,0
1968-07-18 00:00,246.378,0,0
1968-07-19 00:00,246.486,0,0
1968-07-20 00:00,246.427,0,0
1968-07-21 00:00,246.437,0,0
1968-07-22 00:00,246.467,0,0
1968-07-23 00:00,246.398,0,0
1968-07-24 00:00,246.417,0,0
1968-07-25 00:00,246.407,0,0
1968-07-26 00:00,246.368,0,0
1968-07-27 00:00,246.348,0,0
1968-07-28 00:00,246.417,0,0
1968-07-29 00:00,246.398,0,0
1968-07-30 00:00,246.299,0,0
1968-07-31 00:00,246.378,0,0
