Date Time, Water Level, I, L 
1998-01-01 00:00,244.621,0,0
1998-01-02 00:00,244.631,0,0
1998-01-03 00:00,244.603,0,0
1998-01-04 00:00,244.632,0,0
1998-01-05 00:00,244.628,0,0
1998-01-06 00:00,244.712,0,0
1998-01-07 00:00,244.774,0,0
1998-01-08 00:00,244.944,0,0
1998-01-09 00:00,245.122,0,0
1998-01-10 00:00,245.254,0,0
1998-01-11 00:00,245.383,0,0
1998-01-12 00:00,245.309,0,0
1998-01-13 00:00,245.625,0,0
1998-01-14 00:00,245.559,0,0
1998-01-15 00:00,245.503,0,0
1998-01-16 00:00,245.658,0,0
1998-01-17 00:00,245.646,0,0
1998-01-18 00:00,245.678,0,0
1998-01-19 00:00,245.728,0,0
1998-01-20 00:00,245.800,0,0
1998-01-21 00:00,245.799,0,0
1998-01-22 00:00,245.745,0,0
1998-01-23 00:00,245.757,0,0
1998-01-24 00:00,245.956,0,0
1998-01-25 00:00,246.077,0,0
1998-01-26 00:00,245.960,0,0
1998-01-27 00:00,245.912,0,0
1998-01-28 00:00,245.992,0,0
1998-01-29 00:00,245.996,0,0
1998-01-30 00:00,246.137,0,0
1998-01-31 00:00,246.139,0,0
1998-02-01 00:00,246.085,0,0
1998-02-02 00:00,246.094,0,0
1998-02-03 00:00,246.186,0,0
1998-02-04 00:00,246.166,0,0
1998-02-05 00:00,246.183,0,0
1998-02-06 00:00,246.175,0,0
1998-02-07 00:00,246.155,0,0
1998-02-08 00:00,246.169,0,0
1998-02-09 00:00,246.163,0,0
1998-02-10 00:00,246.162,0,0
1998-02-11 00:00,246.107,0,0
1998-02-12 00:00,246.299,0,0
1998-02-13 00:00,246.270,0,0
1998-02-14 00:00,246.203,0,0
1998-02-15 00:00,246.132,0,0
1998-02-16 00:00,246.093,0,0
1998-02-17 00:00,246.052,0,0
1998-02-18 00:00,246.174,0,0
1998-02-19 00:00,246.284,0,0
1998-02-20 00:00,246.327,0,0
1998-02-21 00:00,246.391,0,0
1998-02-22 00:00,246.338,0,0
1998-02-23 00:00,246.292,0,0
1998-02-24 00:00,246.388,0,0
1998-02-25 00:00,246.466,0,0
1998-02-26 00:00,246.360,0,0
1998-02-27 00:00,246.299,0,0
1998-02-28 00:00,246.339,0,0
1998-03-01 00:00,246.371,0,0
1998-03-02 00:00,246.375,0,0
1998-03-03 00:00,246.383,0,0
1998-03-04 00:00,246.438,0,0
1998-03-05 00:00,246.461,0,0
1998-03-06 00:00,246.400,0,0
1998-03-07 00:00,246.407,0,0
1998-03-08 00:00,246.291,0,0
1998-03-09 00:00,246.444,0,0
