Date Time, Water Level, I, L 
1988-01-01 00:00,244.575,0,0
1988-01-02 00:00,244.554,0,0
1988-01-03 00:00,244.524,0,0
1988-01-04 00:00,244.549,0,0
1988-01-05 00:00,244.506,0,0
1988-01-06 00:00,244.600,0,0
1988-01-07 00:00,244.544,0,0
1988-01-08 00:00,244.470,0,0
1988-01-09 00:00,244.470,0,0
1988-01-10 00:00,244.482,0,0
1988-01-11 00:00,244.426,0,0
1988-01-12 00:00,244.410,0,0
1988-01-13 00:00,244.481,0,0
1988-01-14 00:00,244.513,0,0
1988-01-15 00:00,244.402,0,0
1988-01-16 00:00,244.401,0,0
1988-01-17 00:00,244.438,0,0
1988-01-18 00:00,244.461,0,0
1988-01-19 00:00,244.481,0,0
1988-01-20 00:00,244.446,0,0
1988-01-21 00:00,244.551,0,0
1988-01-22 00:00,244.579,0,0
1988-01-23 00:00,244.538,0,0
1988-01-24 00:00,244.526,0,0
1988-01-25 00:00,244.584,0,0
1988-01-26 00:00,244.634,0,0
1988-01-27 00:00,244.600,0,0
1988-01-28 00:00,244.572,0,0
1988-01-29 00:00,244.549,0,0
1988-01-30 00:00,244.551,0,0
1988-01-31 00:00,244.573,0,0
1988-02-01 00:00,244.612,0,0
1988-02-02 00:00,244.700,0,0
1988-02-03 00:00,244.654,0,0
1988-02-04 00:00,244.729,0,0
1988-02-05 00:00,244.692,0,0
1988-02-06 00:00,244.643,0,0
1988-02-07 00:00,244.638,0,0
1988-02-08 00:00,244.703,0,0
1988-02-09 00:00,244.686,0,0
1988-02-10 00:00,244.674,0,0
1988-02-11 00:00,244.661,0,0
1988-02-12 00:00,244.657,0,0
1988-02-13 00:00,244.745,0,0
1988-02-14 00:00,244.696,0,0
1988-02-15 00:00,244.660,0,0
1988-02-16 00:00,244.753,0,0
1988-02-17 00:00,244.727,0,0
1988-02-18 00:00,244.730,0,0
1988-02-19 00:00,244.731,0,0
1988-02-20 00:00,244.727,0,0
1988-02-21 00:00,244.804,0,0
1988-02-22 00:00,244.705,0,0
1988-02-23 00:00,244.792,0,0
1988-02-24 00:00,244.779,0,0
1988-02-25 00:00,244.786,0,0
1988-02-26 00:00,244.789,0,0
1988-02-27 00:00,244.807,0,0
1988-02-28 00:00,244.744,0,0
1988-02-29 00:00,244.743,0,0
1988-03-01 00:00,244.762,0,0
1988-03-02 00:00,244.743,0,0
1988-03-03 00:00,244.765,0,0
1988-03-04 00:00,244.726,0,0
1988-03-05 00:00,244.716,0,0
1988-03-06 00:00,244.676,0,0
1988-03-07 00:00,244.663,0,0
1988-03-08 00:00,244.686,0,0
1988-03-09 00:00,244.656,0,0
1988-03-10 00:00,244.729,0,0
1988-03-11 00:00,244.694,0,0
1988-03-12 00:00,244.654,0,0
1988-03-13 00:00,244.646,0,0
1988-03-14 00:00,244.669,0,0
1988-03-15 00:00,244.663,0,0
1988-03-16 00:00,244.715,0,0
1988-03-17 00:00,244.703,0,0
1988-03-18 00:00,244.675,0,0
1988-03-19 00:00,244.688,0,0
1988-03-20 00:00,244.718,0,0
1988-03-21 00:00,244.695,0,0
1988-03-22 00:00,244.627,0,0
1988-03-23 00:00,244.581,0,0
1988-03-24 00:00,244.636,0,0
1988-03-25 00:00,244.636,0,0
1988-03-26 00:00,244.674,0,0
1988-03-27 00:00,244.796,0,0
1988-03-28 00:00,244.836,0,0
