# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-30 15:06:48 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04260500 BLACK RIVER AT WATERTOWN NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04260500
#            TS   parameter     statistic     Description
#        105812       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105812_00060_00003	105812_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04260500	1969-01-01	5360	A
USGS	04260500	1969-01-02	5840	A
USGS	04260500	1969-01-03	5910	A
USGS	04260500	1969-01-04	5050	A
USGS	04260500	1969-01-05	4170	A
USGS	04260500	1969-01-06	3720	A
USGS	04260500	1969-01-07	3500	A
USGS	04260500	1969-01-08	3340	A
USGS	04260500	1969-01-09	3300	A
USGS	04260500	1969-01-10	2930	A
USGS	04260500	1969-01-11	2940	A
USGS	04260500	1969-01-12	2710	A
USGS	04260500	1969-01-13	2560	A
USGS	04260500	1969-01-14	2640	A
USGS	04260500	1969-01-15	2670	A
USGS	04260500	1969-01-16	2830	A
USGS	04260500	1969-01-17	2560	A
USGS	04260500	1969-01-18	2440	A
USGS	04260500	1969-01-19	2620	A
USGS	04260500	1969-01-20	3070	A
USGS	04260500	1969-01-21	3380	A
USGS	04260500	1969-01-22	3280	A
USGS	04260500	1969-01-23	3150	A
USGS	04260500	1969-01-24	3210	A
USGS	04260500	1969-01-25	4320	A
USGS	04260500	1969-01-26	5580	A
USGS	04260500	1969-01-27	5850	A
USGS	04260500	1969-01-28	5780	A
USGS	04260500	1969-01-29	4970	A
USGS	04260500	1969-01-30	4620	A
USGS	04260500	1969-01-31	6000	A
USGS	04260500	1969-02-01	7060	A
USGS	04260500	1969-02-02	7190	A
USGS	04260500	1969-02-03	7280	A
USGS	04260500	1969-02-04	7000	A
USGS	04260500	1969-02-05	6890	A
USGS	04260500	1969-02-06	5880	A
USGS	04260500	1969-02-07	5170	A
USGS	04260500	1969-02-08	4490	A
USGS	04260500	1969-02-09	3940	A
USGS	04260500	1969-02-10	3510	A
USGS	04260500	1969-02-11	3680	A
USGS	04260500	1969-02-12	3170	A
USGS	04260500	1969-02-13	3040	A
USGS	04260500	1969-02-14	3070	A
USGS	04260500	1969-02-15	2740	A
USGS	04260500	1969-02-16	2830	A
USGS	04260500	1969-02-17	2850	A
USGS	04260500	1969-02-18	2650	A
USGS	04260500	1969-02-19	2650	A
USGS	04260500	1969-02-20	2450	A
USGS	04260500	1969-02-21	2360	A
USGS	04260500	1969-02-22	2350	A
USGS	04260500	1969-02-23	2280	A
USGS	04260500	1969-02-24	2290	A
USGS	04260500	1969-02-25	2320	A
USGS	04260500	1969-02-26	2380	A
USGS	04260500	1969-02-27	2310	A
USGS	04260500	1969-02-28	2280	A
USGS	04260500	1969-03-01	2380	A
USGS	04260500	1969-03-02	2370	A
USGS	04260500	1969-03-03	2290	A
USGS	04260500	1969-03-04	2250	A
USGS	04260500	1969-03-05	2020	A
USGS	04260500	1969-03-06	2220	A
USGS	04260500	1969-03-07	2090	A
USGS	04260500	1969-03-08	2030	A
USGS	04260500	1969-03-09	1890	A
USGS	04260500	1969-03-10	1740	A
USGS	04260500	1969-03-11	1850	A
USGS	04260500	1969-03-12	1860	A
USGS	04260500	1969-03-13	1850	A
USGS	04260500	1969-03-14	1960	A
USGS	04260500	1969-03-15	1860	A
USGS	04260500	1969-03-16	1810	A
USGS	04260500	1969-03-17	1840	A
USGS	04260500	1969-03-18	1940	A
USGS	04260500	1969-03-19	2430	A
USGS	04260500	1969-03-20	3140	A
USGS	04260500	1969-03-21	5150	A
USGS	04260500	1969-03-22	6390	A
USGS	04260500	1969-03-23	6550	A
USGS	04260500	1969-03-24	7000	A
USGS	04260500	1969-03-25	8770	A
USGS	04260500	1969-03-26	10400	A
USGS	04260500	1969-03-27	9620	A
USGS	04260500	1969-03-28	9190	A
USGS	04260500	1969-03-29	7760	A
USGS	04260500	1969-03-30	6050	A
USGS	04260500	1969-03-31	4640	A
USGS	04260500	1969-04-01	3980	A
USGS	04260500	1969-04-02	3780	A
USGS	04260500	1969-04-03	4530	A
USGS	04260500	1969-04-04	5060	A
USGS	04260500	1969-04-05	6550	A
USGS	04260500	1969-04-06	9320	A
USGS	04260500	1969-04-07	10500	A
USGS	04260500	1969-04-08	12100	A
USGS	04260500	1969-04-09	13100	A
USGS	04260500	1969-04-10	14300	A
USGS	04260500	1969-04-11	18000	A
USGS	04260500	1969-04-12	21200	A
