# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-30 15:02:33 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04231600 GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04231600
#            TS   parameter     statistic     Description
#        105622       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105622_00060_00003	105622_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04231600	1969-01-01	6060	A
USGS	04231600	1969-01-02	4800	A
USGS	04231600	1969-01-03	4490	A
USGS	04231600	1969-01-04	3870	A
USGS	04231600	1969-01-05	2740	A
USGS	04231600	1969-01-06	2380	A
USGS	04231600	1969-01-07	2030	A
USGS	04231600	1969-01-08	2210	A
USGS	04231600	1969-01-09	1920	A
USGS	04231600	1969-01-10	1690	A
USGS	04231600	1969-01-11	1490	A
USGS	04231600	1969-01-12	1340	A
USGS	04231600	1969-01-13	1610	A
USGS	04231600	1969-01-14	1450	A
USGS	04231600	1969-01-15	1290	A
USGS	04231600	1969-01-16	1440	A
USGS	04231600	1969-01-17	1490	A
USGS	04231600	1969-01-18	1810	A
USGS	04231600	1969-01-19	3390	A
USGS	04231600	1969-01-20	4180	A
USGS	04231600	1969-01-21	4260	A
USGS	04231600	1969-01-22	4120	A
USGS	04231600	1969-01-23	3710	A
USGS	04231600	1969-01-24	4710	A
USGS	04231600	1969-01-25	7860	A
USGS	04231600	1969-01-26	7280	A
USGS	04231600	1969-01-27	6960	A
USGS	04231600	1969-01-28	6150	A
USGS	04231600	1969-01-29	5550	A
USGS	04231600	1969-01-30	4680	A
USGS	04231600	1969-01-31	7900	A
USGS	04231600	1969-02-01	10400	A
USGS	04231600	1969-02-02	8830	A
USGS	04231600	1969-02-03	5680	A
USGS	04231600	1969-02-04	7230	A
USGS	04231600	1969-02-05	8220	A
USGS	04231600	1969-02-06	6340	A
USGS	04231600	1969-02-07	3800	A
USGS	04231600	1969-02-08	2780	A
USGS	04231600	1969-02-09	2810	A
USGS	04231600	1969-02-10	2710	A
USGS	04231600	1969-02-11	2430	A
USGS	04231600	1969-02-12	2230	A
USGS	04231600	1969-02-13	2110	A
USGS	04231600	1969-02-14	2080	A
USGS	04231600	1969-02-15	1950	A
USGS	04231600	1969-02-16	1630	A
USGS	04231600	1969-02-17	1750	A
USGS	04231600	1969-02-18	1790	A
USGS	04231600	1969-02-19	1870	A
USGS	04231600	1969-02-20	1910	A
USGS	04231600	1969-02-21	1730	A
USGS	04231600	1969-02-22	1840	A
USGS	04231600	1969-02-23	2040	A
USGS	04231600	1969-02-24	2190	A
USGS	04231600	1969-02-25	2190	A
USGS	04231600	1969-02-26	2100	A
USGS	04231600	1969-02-27	2070	A
USGS	04231600	1969-02-28	2130	A
USGS	04231600	1969-03-01	1810	A
USGS	04231600	1969-03-02	1960	A
USGS	04231600	1969-03-03	2020	A
USGS	04231600	1969-03-04	2190	A
USGS	04231600	1969-03-05	1940	A
USGS	04231600	1969-03-06	1690	A
USGS	04231600	1969-03-07	1410	A
USGS	04231600	1969-03-08	1160	A
USGS	04231600	1969-03-09	1110	A
USGS	04231600	1969-03-10	1160	A
USGS	04231600	1969-03-11	1110	A
USGS	04231600	1969-03-12	865	A
USGS	04231600	1969-03-13	994	A
USGS	04231600	1969-03-14	955	A
USGS	04231600	1969-03-15	895	A
USGS	04231600	1969-03-16	994	A
USGS	04231600	1969-03-17	1130	A
USGS	04231600	1969-03-18	1730	A
USGS	04231600	1969-03-19	3050	A
USGS	04231600	1969-03-20	4380	A
USGS	04231600	1969-03-21	6230	A
USGS	04231600	1969-03-22	9260	A
USGS	04231600	1969-03-23	6790	A
USGS	04231600	1969-03-24	4460	A
USGS	04231600	1969-03-25	5390	A
USGS	04231600	1969-03-26	8000	A
USGS	04231600	1969-03-27	8290	A
USGS	04231600	1969-03-28	7780	A
USGS	04231600	1969-03-29	4660	A
USGS	04231600	1969-03-30	4170	A
USGS	04231600	1969-03-31	3900	A
USGS	04231600	1969-04-01	3360	A
USGS	04231600	1969-04-02	3400	A
USGS	04231600	1969-04-03	7150	A
USGS	04231600	1969-04-04	9660	A
USGS	04231600	1969-04-05	6170	A
USGS	04231600	1969-04-06	5020	A
USGS	04231600	1969-04-07	4560	A
USGS	04231600	1969-04-08	6940	A
USGS	04231600	1969-04-09	9260	A
USGS	04231600	1969-04-10	9420	A
USGS	04231600	1969-04-11	6250	A
USGS	04231600	1969-04-12	4260	A
USGS	04231600	1969-04-13	4000	A
USGS	04231600	1969-04-14	4100	A
USGS	04231600	1969-04-15	8160	A
USGS	04231600	1969-04-16	6890	A
USGS	04231600	1969-04-17	3870	A
USGS	04231600	1969-04-18	3710	A
USGS	04231600	1969-04-19	9220	A
USGS	04231600	1969-04-20	11700	A
USGS	04231600	1969-04-21	7840	A
USGS	04231600	1969-04-22	8940	A
USGS	04231600	1969-04-23	9330	A
USGS	04231600	1969-04-24	12500	A
USGS	04231600	1969-04-25	13400	A
USGS	04231600	1969-04-26	11200	A
USGS	04231600	1969-04-27	9480	A
USGS	04231600	1969-04-28	8100	A
USGS	04231600	1969-04-29	7600	A
USGS	04231600	1969-04-30	7520	A
USGS	04231600	1969-05-01	6960	A
USGS	04231600	1969-05-02	6200	A
USGS	04231600	1969-05-03	5760	A
USGS	04231600	1969-05-04	5100	A
USGS	04231600	1969-05-05	4200	A
USGS	04231600	1969-05-06	3420	A
USGS	04231600	1969-05-07	2840	A
USGS	04231600	1969-05-08	2970	A
USGS	04231600	1969-05-09	3000	A
USGS	04231600	1969-05-10	3180	A
USGS	04231600	1969-05-11	3430	A
USGS	04231600	1969-05-12	3590	A
USGS	04231600	1969-05-13	3580	A
USGS	04231600	1969-05-14	3560	A
USGS	04231600	1969-05-15	3390	A
USGS	04231600	1969-05-16	3440	A
USGS	04231600	1969-05-17	2820	A
USGS	04231600	1969-05-18	3320	A
USGS	04231600	1969-05-19	4210	A
USGS	04231600	1969-05-20	4530	A
USGS	04231600	1969-05-21	4600	A
USGS	04231600	1969-05-22	4140	A
USGS	04231600	1969-05-23	3470	A
USGS	04231600	1969-05-24	2950	A
USGS	04231600	1969-05-25	2700	A
USGS	04231600	1969-05-26	2490	A
USGS	04231600	1969-05-27	2380	A
USGS	04231600	1969-05-28	2350	A
USGS	04231600	1969-05-29	2160	A
USGS	04231600	1969-05-30	1950	A
USGS	04231600	1969-05-31	1720	A
USGS	04231600	1969-06-01	1670	A
USGS	04231600	1969-06-02	2160	A
USGS	04231600	1969-06-03	3810	A
USGS	04231600	1969-06-04	3960	A
USGS	04231600	1969-06-05	3460	A
USGS	04231600	1969-06-06	2680	A
USGS	04231600	1969-06-07	2430	A
USGS	04231600	1969-06-08	2460	A
USGS	04231600	1969-06-09	2120	A
USGS	04231600	1969-06-10	1850	A
USGS	04231600	1969-06-11	1770	A
USGS	04231600	1969-06-12	1760	A
USGS	04231600	1969-06-13	1660	A
USGS	04231600	1969-06-14	1270	A
USGS	04231600	1969-06-15	1560	A
USGS	04231600	1969-06-16	1900	A
USGS	04231600	1969-06-17	2320	A
USGS	04231600	1969-06-18	2800	A
USGS	04231600	1969-06-19	1790	A
USGS	04231600	1969-06-20	1750	A
USGS	04231600	1969-06-21	2230	A
USGS	04231600	1969-06-22	2960	A
USGS	04231600	1969-06-23	3290	A
USGS	04231600	1969-06-24	5170	A
USGS	04231600	1969-06-25	4990	A
USGS	04231600	1969-06-26	4400	A
USGS	04231600	1969-06-27	4340	A
USGS	04231600	1969-06-28	4160	A
USGS	04231600	1969-06-29	4010	A
USGS	04231600	1969-06-30	3830	A
USGS	04231600	1969-07-01	4000	A
USGS	04231600	1969-07-02	4050	A
USGS	04231600	1969-07-03	3850	A
USGS	04231600	1969-07-04	3530	A
USGS	04231600	1969-07-05	3370	A
USGS	04231600	1969-07-06	3040	A
USGS	04231600	1969-07-07	2770	A
USGS	04231600	1969-07-08	1950	A
USGS	04231600	1969-07-09	1570	A
USGS	04231600	1969-07-10	1350	A
USGS	04231600	1969-07-11	1420	A
USGS	04231600	1969-07-12	1740	A
USGS	04231600	1969-07-13	1850	A
USGS	04231600	1969-07-14	1800	A
USGS	04231600	1969-07-15	1740	A
USGS	04231600	1969-07-16	1320	A
USGS	04231600	1969-07-17	1370	A
USGS	04231600	1969-07-18	1310	A
USGS	04231600	1969-07-19	1110	A
USGS	04231600	1969-07-20	1180	A
USGS	04231600	1969-07-21	1260	A
USGS	04231600	1969-07-22	1260	A
USGS	04231600	1969-07-23	1250	A
USGS	04231600	1969-07-24	1270	A
USGS	04231600	1969-07-25	1280	A
USGS	04231600	1969-07-26	1410	A
USGS	04231600	1969-07-27	1530	A
USGS	04231600	1969-07-28	1390	A
USGS	04231600	1969-07-29	1380	A
USGS	04231600	1969-07-30	1490	A
USGS	04231600	1969-07-31	1280	A
USGS	04231600	1969-08-01	1410	A
USGS	04231600	1969-08-02	1440	A
USGS	04231600	1969-08-03	1530	A
USGS	04231600	1969-08-04	1330	A
USGS	04231600	1969-08-05	1420	A
USGS	04231600	1969-08-06	1400	A
USGS	04231600	1969-08-07	1230	A
USGS	04231600	1969-08-08	1230	A
USGS	04231600	1969-08-09	1060	A
USGS	04231600	1969-08-10	1100	A
USGS	04231600	1969-08-11	1110	A
USGS	04231600	1969-08-12	1140	A
USGS	04231600	1969-08-13	1140	A
USGS	04231600	1969-08-14	1070	A
USGS	04231600	1969-08-15	1040	A
USGS	04231600	1969-08-16	1130	A
USGS	04231600	1969-08-17	1080	A
USGS	04231600	1969-08-18	1370	A
USGS	04231600	1969-08-19	1130	A
USGS	04231600	1969-08-20	1130	A
USGS	04231600	1969-08-21	905	A
USGS	04231600	1969-08-22	1030	A
USGS	04231600	1969-08-23	1080	A
USGS	04231600	1969-08-24	855	A
USGS	04231600	1969-08-25	1140	A
USGS	04231600	1969-08-26	715	A
USGS	04231600	1969-08-27	700	A
USGS	04231600	1969-08-28	735	A
USGS	04231600	1969-08-29	690	A
USGS	04231600	1969-08-30	661	A
USGS	04231600	1969-08-31	562	A
USGS	04231600	1969-09-01	616	A
USGS	04231600	1969-09-02	634	A
USGS	04231600	1969-09-03	630	A
