# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-30 15:08:44 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04264331 ST. LAWRENCE R AT CORNWALL ONT NR MASSENA NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04264331
#            TS   parameter     statistic     Description
#        105820       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	105820_00060_00003	105820_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04264331	1969-01-01	238000	A
USGS	04264331	1969-01-02	238000	A
USGS	04264331	1969-01-03	238000	A
USGS	04264331	1969-01-04	210000	A
USGS	04264331	1969-01-05	210000	A
USGS	04264331	1969-01-06	238000	A
USGS	04264331	1969-01-07	238000	A
USGS	04264331	1969-01-08	238000	A
USGS	04264331	1969-01-09	238000	A
USGS	04264331	1969-01-10	238000	A
USGS	04264331	1969-01-11	210000	A
USGS	04264331	1969-01-12	210000	A
USGS	04264331	1969-01-13	238000	A
USGS	04264331	1969-01-14	238000	A
USGS	04264331	1969-01-15	238000	A
USGS	04264331	1969-01-16	238000	A
USGS	04264331	1969-01-17	238000	A
USGS	04264331	1969-01-18	226000	A
USGS	04264331	1969-01-19	226000	A
USGS	04264331	1969-01-20	240000	A
USGS	04264331	1969-01-21	240000	A
USGS	04264331	1969-01-22	240000	A
USGS	04264331	1969-01-23	240000	A
USGS	04264331	1969-01-24	240000	A
USGS	04264331	1969-01-25	244000	A
USGS	04264331	1969-01-26	244000	A
USGS	04264331	1969-01-27	244000	A
USGS	04264331	1969-01-28	244000	A
USGS	04264331	1969-01-29	244000	A
USGS	04264331	1969-01-30	244000	A
USGS	04264331	1969-01-31	244000	A
USGS	04264331	1969-02-01	240000	A
USGS	04264331	1969-02-02	240000	A
USGS	04264331	1969-02-03	254000	A
USGS	04264331	1969-02-04	254000	A
USGS	04264331	1969-02-05	254000	A
USGS	04264331	1969-02-06	254000	A
USGS	04264331	1969-02-07	254000	A
USGS	04264331	1969-02-08	240000	A
USGS	04264331	1969-02-09	240000	A
USGS	04264331	1969-02-10	254000	A
USGS	04264331	1969-02-11	254000	A
USGS	04264331	1969-02-12	254000	A
USGS	04264331	1969-02-13	254000	A
USGS	04264331	1969-02-14	254000	A
USGS	04264331	1969-02-15	245000	A
USGS	04264331	1969-02-16	245000	A
USGS	04264331	1969-02-17	259000	A
USGS	04264331	1969-02-18	259000	A
USGS	04264331	1969-02-19	259000	A
USGS	04264331	1969-02-20	259000	A
USGS	04264331	1969-02-21	259000	A
USGS	04264331	1969-02-22	245000	A
USGS	04264331	1969-02-23	245000	A
USGS	04264331	1969-02-24	259000	A
USGS	04264331	1969-02-25	259000	A
USGS	04264331	1969-02-26	259000	A
USGS	04264331	1969-02-27	259000	A
USGS	04264331	1969-02-28	259000	A
USGS	04264331	1969-03-01	245000	A
USGS	04264331	1969-03-02	245000	A
USGS	04264331	1969-03-03	259000	A
USGS	04264331	1969-03-04	259000	A
USGS	04264331	1969-03-05	259000	A
USGS	04264331	1969-03-06	259000	A
USGS	04264331	1969-03-07	259000	A
USGS	04264331	1969-03-08	245000	A
USGS	04264331	1969-03-09	245000	A
USGS	04264331	1969-03-10	259000	A
USGS	04264331	1969-03-11	259000	A
USGS	04264331	1969-03-12	259000	A
USGS	04264331	1969-03-13	259000	A
USGS	04264331	1969-03-14	259000	A
USGS	04264331	1969-03-15	250000	A
USGS	04264331	1969-03-16	250000	A
USGS	04264331	1969-03-17	257000	A
USGS	04264331	1969-03-18	257000	A
USGS	04264331	1969-03-19	257000	A
USGS	04264331	1969-03-20	257000	A
USGS	04264331	1969-03-21	257000	A
USGS	04264331	1969-03-22	252000	A
USGS	04264331	1969-03-23	252000	A
USGS	04264331	1969-03-24	258000	A
USGS	04264331	1969-03-25	258000	A
USGS	04264331	1969-03-26	258000	A
USGS	04264331	1969-03-27	258000	A
USGS	04264331	1969-03-28	259000	A
USGS	04264331	1969-03-29	250000	A
USGS	04264331	1969-03-30	250000	A
USGS	04264331	1969-03-31	264000	A
USGS	04264331	1969-04-01	263000	A
USGS	04264331	1969-04-02	263000	A
USGS	04264331	1969-04-03	263000	A
USGS	04264331	1969-04-04	263000	A
USGS	04264331	1969-04-05	258000	A
USGS	04264331	1969-04-06	258000	A
USGS	04264331	1969-04-07	258000	A
USGS	04264331	1969-04-08	259000	A
USGS	04264331	1969-04-09	258000	A
USGS	04264331	1969-04-10	258000	A
USGS	04264331	1969-04-11	258000	A
USGS	04264331	1969-04-12	264000	A
USGS	04264331	1969-04-13	264000	A
USGS	04264331	1969-04-14	264000	A
USGS	04264331	1969-04-15	264000	A
USGS	04264331	1969-04-16	264000	A
USGS	04264331	1969-04-17	264000	A
USGS	04264331	1969-04-18	264000	A
USGS	04264331	1969-04-19	266000	A
USGS	04264331	1969-04-20	266000	A
USGS	04264331	1969-04-21	266000	A
USGS	04264331	1969-04-22	266000	A
USGS	04264331	1969-04-23	266000	A
USGS	04264331	1969-04-24	266000	A
USGS	04264331	1969-04-25	266000	A
USGS	04264331	1969-04-26	273000	A
USGS	04264331	1969-04-27	273000	A
USGS	04264331	1969-04-28	273000	A
USGS	04264331	1969-04-29	273000	A
USGS	04264331	1969-04-30	273000	A
USGS	04264331	1969-05-01	273000	A
USGS	04264331	1969-05-02	273000	A
USGS	04264331	1969-05-03	277000	A
USGS	04264331	1969-05-04	277000	A
USGS	04264331	1969-05-05	277000	A
USGS	04264331	1969-05-06	277000	A
USGS	04264331	1969-05-07	277000	A
USGS	04264331	1969-05-08	277000	A
USGS	04264331	1969-05-09	277000	A
USGS	04264331	1969-05-10	273000	A
USGS	04264331	1969-05-11	273000	A
USGS	04264331	1969-05-12	273000	A
USGS	04264331	1969-05-13	273000	A
USGS	04264331	1969-05-14	273000	A
USGS	04264331	1969-05-15	273000	A
USGS	04264331	1969-05-16	273000	A
USGS	04264331	1969-05-17	273000	A
USGS	04264331	1969-05-18	273000	A
USGS	04264331	1969-05-19	273000	A
USGS	04264331	1969-05-20	273000	A
USGS	04264331	1969-05-21	273000	A
USGS	04264331	1969-05-22	273000	A
USGS	04264331	1969-05-23	273000	A
USGS	04264331	1969-05-24	279000	A
USGS	04264331	1969-05-25	279000	A
USGS	04264331	1969-05-26	279000	A
USGS	04264331	1969-05-27	279000	A
USGS	04264331	1969-05-28	279000	A
USGS	04264331	1969-05-29	279000	A
USGS	04264331	1969-05-30	279000	A
USGS	04264331	1969-05-31	284000	A
USGS	04264331	1969-06-01	284000	A
USGS	04264331	1969-06-02	284000	A
USGS	04264331	1969-06-03	284000	A
USGS	04264331	1969-06-04	284000	A
USGS	04264331	1969-06-05	284000	A
USGS	04264331	1969-06-06	284000	A
USGS	04264331	1969-06-07	289000	A
USGS	04264331	1969-06-08	289000	A
USGS	04264331	1969-06-09	289000	A
USGS	04264331	1969-06-10	289000	A
USGS	04264331	1969-06-11	289000	A
USGS	04264331	1969-06-12	289000	A
USGS	04264331	1969-06-13	289000	A
USGS	04264331	1969-06-14	292000	A
USGS	04264331	1969-06-15	292000	A
USGS	04264331	1969-06-16	292000	A
USGS	04264331	1969-06-17	292000	A
USGS	04264331	1969-06-18	292000	A
USGS	04264331	1969-06-19	292000	A
USGS	04264331	1969-06-20	292000	A
USGS	04264331	1969-06-21	295000	A
USGS	04264331	1969-06-22	295000	A
