# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-30 14:59:56 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04216000 NIAGARA RIVER AT BUFFALO NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04216000
#            TS   parameter     statistic     Description
#        217733       00060     00003     Discharge, cubic feet per second (Mean), [From USACOE Buffalo]
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	217733_00060_00003	217733_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04216000	1969-01-01	248000	A
USGS	04216000	1969-01-02	217000	A
USGS	04216000	1969-01-03	187000	A
USGS	04216000	1969-01-04	174000	A
USGS	04216000	1969-01-05	178000	A
USGS	04216000	1969-01-06	175000	A
USGS	04216000	1969-01-07	210000	A
USGS	04216000	1969-01-08	193000	A
USGS	04216000	1969-01-09	210000	A
USGS	04216000	1969-01-10	221000	A
USGS	04216000	1969-01-11	194000	A
USGS	04216000	1969-01-12	183000	A
USGS	04216000	1969-01-13	188000	A
USGS	04216000	1969-01-14	192000	A
USGS	04216000	1969-01-15	186000	A
USGS	04216000	1969-01-16	186000	A
USGS	04216000	1969-01-17	192000	A
USGS	04216000	1969-01-18	199000	A
USGS	04216000	1969-01-19	204000	A
USGS	04216000	1969-01-20	194000	A
USGS	04216000	1969-01-21	197000	A
USGS	04216000	1969-01-22	199000	A
USGS	04216000	1969-01-23	197000	A
USGS	04216000	1969-01-24	210000	A
USGS	04216000	1969-01-25	225000	A
USGS	04216000	1969-01-26	198000	A
USGS	04216000	1969-01-27	190000	A
USGS	04216000	1969-01-28	171000	A
USGS	04216000	1969-01-29	200000	A
USGS	04216000	1969-01-30	206000	A
USGS	04216000	1969-01-31	222000	A
USGS	04216000	1969-02-01	218000	A
USGS	04216000	1969-02-02	211000	A
USGS	04216000	1969-02-03	223000	A
USGS	04216000	1969-02-04	213000	A
USGS	04216000	1969-02-05	200000	A
USGS	04216000	1969-02-06	192000	A
USGS	04216000	1969-02-07	207000	A
USGS	04216000	1969-02-08	204000	A
USGS	04216000	1969-02-09	204000	A
USGS	04216000	1969-02-10	199000	A
USGS	04216000	1969-02-11	215000	A
USGS	04216000	1969-02-12	214000	A
USGS	04216000	1969-02-13	209000	A
USGS	04216000	1969-02-14	210000	A
USGS	04216000	1969-02-15	211000	A
USGS	04216000	1969-02-16	208000	A
USGS	04216000	1969-02-17	207000	A
USGS	04216000	1969-02-18	206000	A
USGS	04216000	1969-02-19	206000	A
USGS	04216000	1969-02-20	207000	A
USGS	04216000	1969-02-21	203000	A
USGS	04216000	1969-02-22	199000	A
USGS	04216000	1969-02-23	204000	A
USGS	04216000	1969-02-24	207000	A
USGS	04216000	1969-02-25	208000	A
USGS	04216000	1969-02-26	207000	A
USGS	04216000	1969-02-27	203000	A
USGS	04216000	1969-02-28	199000	A
USGS	04216000	1969-03-01	193000	A
USGS	04216000	1969-03-02	201000	A
USGS	04216000	1969-03-03	203000	A
USGS	04216000	1969-03-04	203000	A
USGS	04216000	1969-03-05	203000	A
USGS	04216000	1969-03-06	204000	A
USGS	04216000	1969-03-07	204000	A
USGS	04216000	1969-03-08	204000	A
USGS	04216000	1969-03-09	201000	A
USGS	04216000	1969-03-10	205000	A
USGS	04216000	1969-03-11	207000	A
USGS	04216000	1969-03-12	209000	A
USGS	04216000	1969-03-13	205000	A
USGS	04216000	1969-03-14	207000	A
USGS	04216000	1969-03-15	208000	A
USGS	04216000	1969-03-16	203000	A
USGS	04216000	1969-03-17	204000	A
USGS	04216000	1969-03-18	201000	A
USGS	04216000	1969-03-19	199000	A
USGS	04216000	1969-03-20	198000	A
USGS	04216000	1969-03-21	220000	A
USGS	04216000	1969-03-22	206000	A
USGS	04216000	1969-03-23	200000	A
USGS	04216000	1969-03-24	197000	A
USGS	04216000	1969-03-25	204000	A
USGS	04216000	1969-03-26	220000	A
USGS	04216000	1969-03-27	213000	A
USGS	04216000	1969-03-28	204000	A
USGS	04216000	1969-03-29	213000	A
USGS	04216000	1969-03-30	208000	A
USGS	04216000	1969-03-31	208000	A
USGS	04216000	1969-04-01	198000	A
USGS	04216000	1969-04-02	214000	A
USGS	04216000	1969-04-03	210000	A
USGS	04216000	1969-04-04	212000	A
USGS	04216000	1969-04-05	221000	A
USGS	04216000	1969-04-06	217000	A
USGS	04216000	1969-04-07	218000	A
USGS	04216000	1969-04-08	205000	A
USGS	04216000	1969-04-09	209000	A
USGS	04216000	1969-04-10	209000	A
USGS	04216000	1969-04-11	203000	A
USGS	04216000	1969-04-12	197000	A
USGS	04216000	1969-04-13	203000	A
USGS	04216000	1969-04-14	199000	A
USGS	04216000	1969-04-15	202000	A
USGS	04216000	1969-04-16	204000	A
USGS	04216000	1969-04-17	204000	A
USGS	04216000	1969-04-18	190000	A
USGS	04216000	1969-04-19	190000	A
USGS	04216000	1969-04-20	224000	A
USGS	04216000	1969-04-21	231000	A
USGS	04216000	1969-04-22	230000	A
USGS	04216000	1969-04-23	230000	A
USGS	04216000	1969-04-24	234000	A
USGS	04216000	1969-04-25	238000	A
USGS	04216000	1969-04-26	230000	A
USGS	04216000	1969-04-27	227000	A
USGS	04216000	1969-04-28	227000	A
USGS	04216000	1969-04-29	224000	A
USGS	04216000	1969-04-30	225000	A
USGS	04216000	1969-05-01	225000	A
USGS	04216000	1969-05-02	227000	A
USGS	04216000	1969-05-03	233000	A
USGS	04216000	1969-05-04	226000	A
USGS	04216000	1969-05-05	224000	A
USGS	04216000	1969-05-06	224000	A
USGS	04216000	1969-05-07	226000	A
USGS	04216000	1969-05-08	230000	A
USGS	04216000	1969-05-09	246000	A
USGS	04216000	1969-05-10	241000	A
USGS	04216000	1969-05-11	242000	A
USGS	04216000	1969-05-12	242000	A
USGS	04216000	1969-05-13	238000	A
USGS	04216000	1969-05-14	233000	A
USGS	04216000	1969-05-15	232000	A
USGS	04216000	1969-05-16	231000	A
USGS	04216000	1969-05-17	233000	A
USGS	04216000	1969-05-18	232000	A
USGS	04216000	1969-05-19	248000	A
USGS	04216000	1969-05-20	249000	A
USGS	04216000	1969-05-21	244000	A
USGS	04216000	1969-05-22	237000	A
USGS	04216000	1969-05-23	239000	A
USGS	04216000	1969-05-24	239000	A
USGS	04216000	1969-05-25	242000	A
USGS	04216000	1969-05-26	235000	A
USGS	04216000	1969-05-27	236000	A
USGS	04216000	1969-05-28	243000	A
USGS	04216000	1969-05-29	244000	A
USGS	04216000	1969-05-30	242000	A
USGS	04216000	1969-05-31	236000	A
USGS	04216000	1969-06-01	238000	A
USGS	04216000	1969-06-02	242000	A
USGS	04216000	1969-06-03	255000	A
USGS	04216000	1969-06-04	243000	A
USGS	04216000	1969-06-05	243000	A
USGS	04216000	1969-06-06	238000	A
USGS	04216000	1969-06-07	240000	A
USGS	04216000	1969-06-08	240000	A
USGS	04216000	1969-06-09	237000	A
USGS	04216000	1969-06-10	236000	A
USGS	04216000	1969-06-11	237000	A
USGS	04216000	1969-06-12	236000	A
USGS	04216000	1969-06-13	238000	A
USGS	04216000	1969-06-14	234000	A
USGS	04216000	1969-06-15	231000	A
USGS	04216000	1969-06-16	238000	A
USGS	04216000	1969-06-17	236000	A
USGS	04216000	1969-06-18	237000	A
USGS	04216000	1969-06-19	233000	A
USGS	04216000	1969-06-20	232000	A
USGS	04216000	1969-06-21	232000	A
USGS	04216000	1969-06-22	229000	A
USGS	04216000	1969-06-23	238000	A
USGS	04216000	1969-06-24	235000	A
USGS	04216000	1969-06-25	231000	A
USGS	04216000	1969-06-26	231000	A
USGS	04216000	1969-06-27	236000	A
USGS	04216000	1969-06-28	240000	A
USGS	04216000	1969-06-29	232000	A
USGS	04216000	1969-06-30	236000	A
USGS	04216000	1969-07-01	235000	A
USGS	04216000	1969-07-02	232000	A
USGS	04216000	1969-07-03	231000	A
USGS	04216000	1969-07-04	232000	A
USGS	04216000	1969-07-05	246000	A
USGS	04216000	1969-07-06	228000	A
USGS	04216000	1969-07-07	222000	A
USGS	04216000	1969-07-08	226000	A
USGS	04216000	1969-07-09	232000	A
USGS	04216000	1969-07-10	237000	A
USGS	04216000	1969-07-11	237000	A
USGS	04216000	1969-07-12	240000	A
USGS	04216000	1969-07-13	238000	A
USGS	04216000	1969-07-14	236000	A
USGS	04216000	1969-07-15	234000	A
USGS	04216000	1969-07-16	233000	A
USGS	04216000	1969-07-17	237000	A
USGS	04216000	1969-07-18	233000	A
USGS	04216000	1969-07-19	230000	A
USGS	04216000	1969-07-20	231000	A
USGS	04216000	1969-07-21	231000	A
USGS	04216000	1969-07-22	227000	A
USGS	04216000	1969-07-23	226000	A
USGS	04216000	1969-07-24	229000	A
USGS	04216000	1969-07-25	237000	A
USGS	04216000	1969-07-26	237000	A
USGS	04216000	1969-07-27	233000	A
USGS	04216000	1969-07-28	240000	A
USGS	04216000	1969-07-29	237000	A
USGS	04216000	1969-07-30	235000	A
USGS	04216000	1969-07-31	234000	A
USGS	04216000	1969-08-01	236000	A
USGS	04216000	1969-08-02	233000	A
USGS	04216000	1969-08-03	232000	A
USGS	04216000	1969-08-04	230000	A
USGS	04216000	1969-08-05	232000	A
USGS	04216000	1969-08-06	232000	A
USGS	04216000	1969-08-07	235000	A
USGS	04216000	1969-08-08	246000	A
USGS	04216000	1969-08-09	238000	A
USGS	04216000	1969-08-10	233000	A
USGS	04216000	1969-08-11	230000	A
USGS	04216000	1969-08-12	232000	A
USGS	04216000	1969-08-13	229000	A
USGS	04216000	1969-08-14	229000	A
USGS	04216000	1969-08-15	228000	A
USGS	04216000	1969-08-16	232000	A
USGS	04216000	1969-08-17	237000	A
USGS	04216000	1969-08-18	237000	A
USGS	04216000	1969-08-19	236000	A
USGS	04216000	1969-08-20	221000	A
USGS	04216000	1969-08-21	226000	A
USGS	04216000	1969-08-22	226000	A
USGS	04216000	1969-08-23	231000	A
USGS	04216000	1969-08-24	231000	A
USGS	04216000	1969-08-25	230000	A
USGS	04216000	1969-08-26	223000	A
USGS	04216000	1969-08-27	224000	A
USGS	04216000	1969-08-28	227000	A
USGS	04216000	1969-08-29	228000	A
USGS	04216000	1969-08-30	226000	A
USGS	04216000	1969-08-31	228000	A
USGS	04216000	1969-09-01	226000	A
USGS	04216000	1969-09-02	218000	A
USGS	04216000	1969-09-03	218000	A
USGS	04216000	1969-09-04	218000	A
USGS	04216000	1969-09-05	222000	A
USGS	04216000	1969-09-06	230000	A
USGS	04216000	1969-09-07	230000	A
USGS	04216000	1969-09-08	224000	A
USGS	04216000	1969-09-09	227000	A
USGS	04216000	1969-09-10	227000	A
USGS	04216000	1969-09-11	229000	A
USGS	04216000	1969-09-12	239000	A
USGS	04216000	1969-09-13	233000	A
USGS	04216000	1969-09-14	223000	A
USGS	04216000	1969-09-15	225000	A
USGS	04216000	1969-09-16	225000	A
USGS	04216000	1969-09-17	219000	A
USGS	04216000	1969-09-18	215000	A
USGS	04216000	1969-09-19	215000	A
USGS	04216000	1969-09-20	218000	A
USGS	04216000	1969-09-21	219000	A
USGS	04216000	1969-09-22	215000	A
USGS	04216000	1969-09-23	220000	A
USGS	04216000	1969-09-24	221000	A
USGS	04216000	1969-09-25	215000	A
USGS	04216000	1969-09-26	219000	A
USGS	04216000	1969-09-27	225000	A
