Date Time,Water Level,I,L
1968-01-01 00:00,245.151,0,0
1968-01-02 00:00,245.089,0,0
1968-01-03 00:00,245.098,0,0
1968-01-04 00:00,244.941,0,0
1968-01-05 00:00,245.059,0,0
1968-01-06 00:00,245.089,0,0
1968-01-07 00:00,245.02,0,0
1968-01-08 00:00,245.089,0,0
1968-01-09 00:00,245.108,0,0
1968-01-10 00:00,245.079,0,0
1968-01-11 00:00,245.01,0,0
1968-01-12 00:00,245.0,0,0
1968-01-13 00:00,245.02,0,0
1968-01-14 00:00,245.049,0,0
1968-01-15 00:00,245.02,0,0
1968-01-16 00:00,245.02,0,0
1968-01-17 00:00,244.98,0,0
1968-01-18 00:00,244.918,0,0
1968-01-19 00:00,244.869,0,0
1968-01-20 00:00,244.888,0,0
1968-01-21 00:00,244.859,0,0
1968-01-22 00:00,244.908,0,0
1968-01-23 00:00,244.869,0,0
1968-01-24 00:00,244.931,0,0
1968-01-25 00:00,244.918,0,0
1968-01-26 00:00,244.859,0,0
1968-01-27 00:00,244.918,0,0
1968-01-28 00:00,244.951,0,0
1968-01-29 00:00,244.931,0,0
1968-01-30 00:00,244.961,0,0
1968-01-31 00:00,245.02,0,0
1968-02-01 00:00,245.079,0,0
1968-02-02 00:00,245.039,0,0
1968-02-03 00:00,245.049,0,0
1968-02-04 00:00,245.079,0,0
1968-02-05 00:00,245.079,0,0
1968-02-06 00:00,245.098,0,0
1968-02-07 00:00,245.18,0,0
1968-02-08 00:00,245.108,0,0
1968-02-09 00:00,245.079,0,0
1968-02-10 00:00,245.089,0,0
1968-02-11 00:00,245.118,0,0
1968-02-12 00:00,245.089,0,0
1968-02-13 00:00,245.039,0,0
1968-02-14 00:00,244.961,0,0
1968-02-15 00:00,245.03,0,0
1968-02-16 00:00,245.108,0,0
1968-02-17 00:00,244.859,0,0
1968-02-18 00:00,244.898,0,0
1968-02-19 00:00,244.961,0,0
1968-02-20 00:00,245.01,0,0
1968-02-21 00:00,244.849,0,0
1968-02-22 00:00,244.82,0,0
1968-03-11 00:00,244.898,0,0
1968-03-12 00:00,245.01,0,0
1968-03-13 00:00,244.908,0,0
1968-03-14 00:00,244.931,0,0
1968-03-15 00:00,244.97,0,0
1968-03-16 00:00,244.99,0,0
1968-03-17 00:00,244.97,0,0
1968-03-18 00:00,245.0,0,0
1968-03-19 00:00,245.049,0,0
1968-03-20 00:00,245.089,0,0
1968-03-21 00:00,245.128,0,0
1968-03-22 00:00,245.21,0,0
1968-03-23 00:00,245.21,0,0
1968-03-24 00:00,245.19,0,0
1968-03-25 00:00,245.381,0,0
1968-03-26 00:00,245.4,0,0
1968-03-27 00:00,245.4,0,0
1968-03-28 00:00,245.459,0,0
1968-03-29 00:00,245.44,0,0
1968-03-30 00:00,245.479,0,0
1968-03-31 00:00,245.528,0,0
1968-04-01 00:00,245.499,0,0
1968-04-02 00:00,245.591,0,0
1968-04-03 00:00,245.669,0,0
1968-04-04 00:00,245.679,0,0
1968-04-05 00:00,245.669,0,0
