Date Time, Water Level, I, L 
1978-01-01 00:00,246.173,0,0
1978-01-02 00:00,246.009,0,0
1978-01-03 00:00,246.005,0,0
1978-01-04 00:00,246.052,0,0
1978-01-05 00:00,246.068,0,0
1978-01-06 00:00,246.122,0,0
1978-01-07 00:00,246.108,0,0
1978-01-08 00:00,246.112,0,0
1978-01-09 00:00,246.038,0,0
1978-01-10 00:00,246.146,0,0
1978-01-11 00:00,246.102,0,0
1978-01-12 00:00,246.310,0,0
1978-01-13 00:00,246.437,0,0
1978-01-14 00:00,246.417,0,0
1978-01-15 00:00,246.278,0,0
1978-01-16 00:00,246.327,0,0
1978-01-17 00:00,246.487,0,0
1978-01-18 00:00,246.445,0,0
1978-01-19 00:00,246.474,0,0
1978-01-20 00:00,246.562,0,0
1978-01-21 00:00,246.443,0,0
1978-01-22 00:00,246.415,0,0
1978-01-23 00:00,246.446,0,0
1978-01-24 00:00,246.466,0,0
1978-01-25 00:00,246.547,0,0
1978-01-26 00:00,246.417,0,0
1978-01-27 00:00,246.393,0,0
1978-01-28 00:00,246.610,0,0
1978-01-29 00:00,246.582,0,0
1978-01-30 00:00,246.569,0,0
1978-01-31 00:00,246.548,0,0
1978-02-01 00:00,246.554,0,0
1978-02-02 00:00,246.640,0,0
1978-02-03 00:00,246.650,0,0
1978-02-04 00:00,246.642,0,0
1978-02-05 00:00,246.670,0,0
1978-02-06 00:00,246.629,0,0
1978-02-07 00:00,246.612,0,0
1978-02-08 00:00,246.589,0,0
1978-02-09 00:00,246.565,0,0
1978-02-10 00:00,246.578,0,0
1978-02-11 00:00,246.495,0,0
1978-02-12 00:00,246.502,0,0
1978-02-13 00:00,246.579,0,0
1978-02-14 00:00,246.483,0,0
1978-02-15 00:00,246.493,0,0
1978-02-16 00:00,246.467,0,0
1978-02-17 00:00,246.404,0,0
1978-02-18 00:00,246.386,0,0
1978-02-19 00:00,246.388,0,0
1978-02-20 00:00,246.383,0,0
1978-02-21 00:00,246.357,0,0
1978-02-22 00:00,246.269,0,0
1978-02-23 00:00,246.241,0,0
1978-02-24 00:00,246.237,0,0
1978-02-25 00:00,246.309,0,0
1978-02-26 00:00,246.220,0,0
1978-02-27 00:00,246.224,0,0
1978-02-28 00:00,246.237,0,0
1978-03-01 00:00,246.197,0,0
1978-03-02 00:00,246.139,0,0
1978-03-03 00:00,246.206,0,0
1978-03-04 00:00,246.050,0,0
1978-03-05 00:00,246.059,0,0
1978-03-06 00:00,246.027,0,0
1978-03-07 00:00,246.020,0,0
1978-03-08 00:00,246.012,0,0
1978-03-09 00:00,245.968,0,0
1978-03-10 00:00,245.936,0,0
1978-03-11 00:00,245.921,0,0
1978-03-12 00:00,245.909,0,0
1978-03-13 00:00,245.887,0,0
1978-03-14 00:00,245.881,0,0
1978-03-15 00:00,245.862,0,0
1978-03-16 00:00,245.915,0,0
1978-03-17 00:00,245.882,0,0
1978-03-18 00:00,245.835,0,0
1978-03-19 00:00,245.783,0,0
1978-03-20 00:00,245.927,0,0
1978-03-21 00:00,245.910,0,0
1978-03-22 00:00,245.927,0,0
1978-03-23 00:00,245.992,0,0
1978-03-24 00:00,246.028,0,0
1978-03-25 00:00,246.126,0,0
1978-03-26 00:00,246.174,0,0
1978-03-27 00:00,246.111,0,0
1978-03-28 00:00,246.142,0,0
1978-03-29 00:00,246.129,0,0
1978-03-30 00:00,246.184,0,0
1978-03-31 00:00,246.261,0,0
1978-04-01 00:00,246.195,0,0
1978-04-02 00:00,246.292,0,0
1978-04-03 00:00,246.408,0,0
1978-04-04 00:00,246.364,0,0
1978-04-05 00:00,246.333,0,0
1978-04-06 00:00,246.506,0,0
1978-04-07 00:00,246.451,0,0
1978-04-08 00:00,246.516,0,0
1978-04-09 00:00,246.606,0,0
1978-04-10 00:00,246.671,0,0
1978-04-11 00:00,246.660,0,0
1978-04-12 00:00,246.716,0,0
1978-04-13 00:00,246.747,0,0
