# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-11-30 15:05:24 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04249000 OSWEGO RIVER AT LOCK 7, OSWEGO NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04249000
#            TS   parameter     statistic     Description
#        105763       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105763_00060_00003	105763_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04249000	1969-01-01	14500	A
USGS	04249000	1969-01-02	14200	A
USGS	04249000	1969-01-03	13600	A
USGS	04249000	1969-01-04	12700	A
USGS	04249000	1969-01-05	12100	A
USGS	04249000	1969-01-06	12000	A
USGS	04249000	1969-01-07	11600	A
USGS	04249000	1969-01-08	11800	A
USGS	04249000	1969-01-09	11800	A
USGS	04249000	1969-01-10	11500	A
USGS	04249000	1969-01-11	11400	A
USGS	04249000	1969-01-12	11400	A
USGS	04249000	1969-01-13	11300	A
USGS	04249000	1969-01-14	11100	A
USGS	04249000	1969-01-15	11000	A
USGS	04249000	1969-01-16	10800	A
USGS	04249000	1969-01-17	11600	A
USGS	04249000	1969-01-18	10700	A
USGS	04249000	1969-01-19	11000	A
USGS	04249000	1969-01-20	11500	A
USGS	04249000	1969-01-21	11700	A
USGS	04249000	1969-01-22	11500	A
USGS	04249000	1969-01-23	11200	A
USGS	04249000	1969-01-24	11000	A
USGS	04249000	1969-01-25	11200	A
USGS	04249000	1969-01-26	11900	A
USGS	04249000	1969-01-27	11800	A
USGS	04249000	1969-01-28	11400	A
USGS	04249000	1969-01-29	10900	A
USGS	04249000	1969-01-30	9950	A
USGS	04249000	1969-01-31	13000	A
USGS	04249000	1969-02-01	17300	A
USGS	04249000	1969-02-02	17800	A
USGS	04249000	1969-02-03	18000	A
USGS	04249000	1969-02-04	17400	A
USGS	04249000	1969-02-05	16000	A
USGS	04249000	1969-02-06	14400	A
USGS	04249000	1969-02-07	13000	A
USGS	04249000	1969-02-08	11700	A
USGS	04249000	1969-02-09	12100	A
USGS	04249000	1969-02-10	11200	A
USGS	04249000	1969-02-11	10100	A
USGS	04249000	1969-02-12	10300	A
USGS	04249000	1969-02-13	9620	A
USGS	04249000	1969-02-14	8290	A
USGS	04249000	1969-02-15	9540	A
USGS	04249000	1969-02-16	8540	A
USGS	04249000	1969-02-17	7880	A
USGS	04249000	1969-02-18	7000	A
USGS	04249000	1969-02-19	7660	A
USGS	04249000	1969-02-20	7420	A
USGS	04249000	1969-02-21	7530	A
USGS	04249000	1969-02-22	7250	A
USGS	04249000	1969-02-23	6970	A
USGS	04249000	1969-02-24	7070	A
USGS	04249000	1969-02-25	6720	A
USGS	04249000	1969-02-26	6820	A
USGS	04249000	1969-02-27	6780	A
USGS	04249000	1969-02-28	6440	A
USGS	04249000	1969-03-01	5140	A
USGS	04249000	1969-03-02	5610	A
USGS	04249000	1969-03-03	5700	A
USGS	04249000	1969-03-04	5620	A
USGS	04249000	1969-03-05	5560	A
USGS	04249000	1969-03-06	5420	A
USGS	04249000	1969-03-07	5190	A
USGS	04249000	1969-03-08	4910	A
USGS	04249000	1969-03-09	4620	A
USGS	04249000	1969-03-10	4240	A
USGS	04249000	1969-03-11	4310	A
USGS	04249000	1969-03-12	4300	A
USGS	04249000	1969-03-13	3200	A
USGS	04249000	1969-03-14	2850	A
USGS	04249000	1969-03-15	3180	A
USGS	04249000	1969-03-16	3450	A
USGS	04249000	1969-03-17	3540	A
USGS	04249000	1969-03-18	3820	A
USGS	04249000	1969-03-19	5000	A
USGS	04249000	1969-03-20	7180	A
USGS	04249000	1969-03-21	11100	A
USGS	04249000	1969-03-22	12400	A
USGS	04249000	1969-03-23	11600	A
USGS	04249000	1969-03-24	11100	A
USGS	04249000	1969-03-25	11700	A
USGS	04249000	1969-03-26	11700	A
USGS	04249000	1969-03-27	11200	A
USGS	04249000	1969-03-28	11000	A
USGS	04249000	1969-03-29	10600	A
USGS	04249000	1969-03-30	9720	A
USGS	04249000	1969-03-31	8410	A
USGS	04249000	1969-04-01	7540	A
USGS	04249000	1969-04-02	8800	A
USGS	04249000	1969-04-03	10300	A
USGS	04249000	1969-04-04	10800	A
USGS	04249000	1969-04-05	12200	A
USGS	04249000	1969-04-06	12900	A
USGS	04249000	1969-04-07	13600	A
USGS	04249000	1969-04-08	13900	A
USGS	04249000	1969-04-09	13300	A
USGS	04249000	1969-04-10	13200	A
USGS	04249000	1969-04-11	13100	A
USGS	04249000	1969-04-12	12800	A
USGS	04249000	1969-04-13	12900	A
USGS	04249000	1969-04-14	12700	A
USGS	04249000	1969-04-15	12500	A
USGS	04249000	1969-04-16	12300	A
USGS	04249000	1969-04-17	10800	A
USGS	04249000	1969-04-18	9630	A
USGS	04249000	1969-04-19	15800	A
USGS	04249000	1969-04-20	17900	A
USGS	04249000	1969-04-21	18600	A
USGS	04249000	1969-04-22	18800	A
USGS	04249000	1969-04-23	19200	A
USGS	04249000	1969-04-24	19800	A
USGS	04249000	1969-04-25	19600	A
USGS	04249000	1969-04-26	19100	A
USGS	04249000	1969-04-27	18800	A
USGS	04249000	1969-04-28	18500	A
USGS	04249000	1969-04-29	18200	A
USGS	04249000	1969-04-30	17700	A
USGS	04249000	1969-05-01	17200	A
USGS	04249000	1969-05-02	16500	A
USGS	04249000	1969-05-03	16000	A
USGS	04249000	1969-05-04	15300	A
USGS	04249000	1969-05-05	14700	A
USGS	04249000	1969-05-06	13500	A
USGS	04249000	1969-05-07	13200	A
USGS	04249000	1969-05-08	9620	A
USGS	04249000	1969-05-09	9720	A
USGS	04249000	1969-05-10	9900	A
USGS	04249000	1969-05-11	9620	A
USGS	04249000	1969-05-12	8560	A
USGS	04249000	1969-05-13	9120	A
USGS	04249000	1969-05-14	8940	A
USGS	04249000	1969-05-15	8900	A
USGS	04249000	1969-05-16	8490	A
USGS	04249000	1969-05-17	8000	A
USGS	04249000	1969-05-18	8590	A
USGS	04249000	1969-05-19	8830	A
USGS	04249000	1969-05-20	14100	A
USGS	04249000	1969-05-21	18200	A
USGS	04249000	1969-05-22	18500	A
USGS	04249000	1969-05-23	17300	A
USGS	04249000	1969-05-24	16000	A
USGS	04249000	1969-05-25	14700	A
USGS	04249000	1969-05-26	12900	A
USGS	04249000	1969-05-27	11500	A
USGS	04249000	1969-05-28	9380	A
USGS	04249000	1969-05-29	8960	A
USGS	04249000	1969-05-30	9290	A
USGS	04249000	1969-05-31	9010	A
USGS	04249000	1969-06-01	8600	A
USGS	04249000	1969-06-02	8420	A
USGS	04249000	1969-06-03	8580	A
USGS	04249000	1969-06-04	8450	A
USGS	04249000	1969-06-05	8740	A
USGS	04249000	1969-06-06	8650	A
USGS	04249000	1969-06-07	8110	A
USGS	04249000	1969-06-08	7660	A
USGS	04249000	1969-06-09	6050	A
USGS	04249000	1969-06-10	4750	A
USGS	04249000	1969-06-11	5150	A
USGS	04249000	1969-06-12	4520	A
USGS	04249000	1969-06-13	3820	A
USGS	04249000	1969-06-14	3590	A
USGS	04249000	1969-06-15	3660	A
USGS	04249000	1969-06-16	3410	A
USGS	04249000	1969-06-17	3270	A
USGS	04249000	1969-06-18	3290	A
USGS	04249000	1969-06-19	3340	A
USGS	04249000	1969-06-20	3030	A
USGS	04249000	1969-06-21	3440	A
USGS	04249000	1969-06-22	3240	A
USGS	04249000	1969-06-23	4040	A
USGS	04249000	1969-06-24	5810	A
USGS	04249000	1969-06-25	7140	A
USGS	04249000	1969-06-26	9180	A
USGS	04249000	1969-06-27	9480	A
USGS	04249000	1969-06-28	9160	A
USGS	04249000	1969-06-29	8660	A
USGS	04249000	1969-06-30	8560	A
USGS	04249000	1969-07-01	8540	A
USGS	04249000	1969-07-02	8310	A
